Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Mason A.R.; Puchol-Salort P.; Gathorne-Hardy A.; Smith B.M.; Myers R.J.,"Mason, Adam R. (57865142300); Puchol-Salort, Pepe (57217164892); Gathorne-Hardy, Alfred (55974402200); Smith, Barbara Maria (12768739300); Myers, Rupert J. (55162811600)",57865142300; 57217164892; 55974402200; 12768739300; 55162811600,"Local terrestrial biodiversity impacts in life cycle assessment: A case study of sedum roofs in London, UK",2024,Journal of Industrial Ecology,28,3,,496,511,15,1,10.1111/jiec.13482,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189091907&doi=10.1111%2fjiec.13482&partnerID=40&md5=8672e62368d83e704cc997fd14b4fdd5,"Urban development is a key driver of global biodiversity loss. “Green” infrastructure is integrated to offset some impacts of development on ecosystem quality by supporting urban biodiversity, a prominent example being green roofs. The effects of green infrastructures on urban biodiversity are not well understood and poorly included in life cycle assessment (LCA) methodology. Here, we present a novel methodology that quantifies the local impact of green infrastructures on terrestrial biodiversity—demonstrated here for sedum roofs in London, UK—and integrates within LCA. It relates energy provision by plants to the metabolic requirements of animals to determine what species richness (number of species) and species abundance (number of individuals) are supported. We demonstrate this methodology using a case study, comparing the life cycle impact of developing 18 buildings, with either asphalt concrete or sedum roofs, on ecosystem quality. We found the sedum roofs (0.018 km2) support 53 species (673 individuals), equivalent to 1.3% of the development's life cycle impacts on ecosystem quality. Complete offsetting requires considerable reduction in transport use throughout the development's lifetime, and lower environmental impact material selection during construction (contributing 98% and 2%, respectively). The results indicate sedum roofs offer minor impact mitigation capacities in the context of urban development, and this capacity is limited for all green infrastructures by species richness in local species pools. This paper demonstrates the potential and limitations of quantifying terrestrial biodiversity offsets offered by green infrastructures alongside urbanization, and the need for realistic expectations of what role it might play in sustainable urban design. © 2024 The Authors. Journal of Industrial Ecology published by Wiley Periodicals LLC on behalf of International Society for Industrial Ecology.",biodiversity; green roofs; industrial ecology; life cycle assessment; nature-based solutions; urbanization,England; London [England]; United Kingdom; Biodiversity; Ecosystems; Environmental impact; Roofs; Urban growth; Case-studies; Green infrastructure; Green roof; Industrial ecology; Life cycle assessment; Nature-based solution; Terrestrial biodiversity; Urban biodiversity; Urban development; Urbanization; asphalt; biodiversity; environmental impact; greenspace; industrial ecology; life cycle analysis; mitigation; species richness; urbanization; Life cycle,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85189091907
Yang L.; Bian C.; Pan S.; Chen W.; Zeng J.; Xu H.; Gu T.,"Yang, Liyan (57966438400); Bian, Chenchen (58719450400); Pan, Sipei (57223127265); Chen, Wanxu (57205733960); Zeng, Jie (57212322494); Xu, Hang (58563161800); Gu, Tianci (57782458900)",57966438400; 58719450400; 57223127265; 57205733960; 57212322494; 58563161800; 57782458900,Assessing the conservation effectiveness of theWorld's protected areas: A habitat quality and human activities perspective,2023,Journal of Cleaner Production,431,,139772,,,,5,10.1016/j.jclepro.2023.139772,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177800050&doi=10.1016%2fj.jclepro.2023.139772&partnerID=40&md5=cd0856e2ccce753bc24d7645f596235d,"The World's protected areas (WDPA) have been established for more than 100 years and serve an essential role in global biodiversity conservation. Assessing the conservation effectiveness of the WDPA is important for understanding the current status of global biodiversity conservation and formulating corresponding improvement measures. However, previous studies still lack to assess the conservation effectiveness of the WDPA at a global scale with a human activities and habitat quality perspective. Here, we construct a framework for evaluating conservation effectiveness from the perspective of human activities and habitat quality, and attempt to assess the conservation effectiveness of the WDPA. The study results found that habitat quality in the WDPA has not degraded over the past two decades and that human-land relationship have been further harmonized. However, trends in the impact of human activities on habitat quality varied across analytical models. The findings of this study affirm the conservation effectiveness of the WDPA but also raise some vigilance, which can provide scientific advice for policymakers further to improve the differentiated protective measures of the WDPA. © 2023 Elsevier Ltd",Conservation effectiveness; Habitat quality; Human activities; Spatial relationships; Spatiotemporal patterns; World's protected areas,Conservation; Ecosystems; Environmental protection; Biodiversity conservation; Conservation effectiveness; Habitat quality; Human activities; Human habitats; Protected areas; Quality activity; Spatial relationships; Spatiotemporal patterns; World protected area; Biodiversity,Article,Final,,Scopus,2-s2.0-85177800050
Czyżewski B.; Kryszak,"Czyżewski, Bazyli (57188840293); Kryszak, Łukasz (57200757719)",57188840293; 57200757719,Can a pursuit of productivity be reconciled with sustainable practices in small-scale farming? Evidence from central and eastern Europe,2023,Journal of Cleaner Production,414,,137684,,,,6,10.1016/j.jclepro.2023.137684,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161703324&doi=10.1016%2fj.jclepro.2023.137684&partnerID=40&md5=d4fe2ea5fbd2c7e107e465413d579807,"Small farms constitute the vast majority of agricultural holdings in the world. Therefore, there are the questions of how the small farm sector should evolve and whether economic and environmental goals can be pursued simultaneously. The main objective of this article is to identify potential improvements (a non-radial inefficiency slack) in small farms in Central and Eastern Europe with different types of farming under an environmentally adjusted production function. Based on this, potential development pathways for small farms are assumed. A hybrid data envelopment analysis meta-frontier super-efficiency model with environmental proxies reflecting biodiversity (i.e. crops diversity, grassland, orchards, vineyards) and undesirable outputs (such as soil organic matter loss and GHG sources) and an uncontrollable policy input is used on a country-representative sample of 2320 small farms in four countries: Poland, Romania, Serbia, and Moldova. We found that the more technically efficient small farms are also usually more sustainable when socially desirable criteria were considered. Crops small farms can evolve in two directions: “landscape guardians” and “artisanal (traditional) framers.” Livestock farms could either maintain the status quo or choose an exit pathway. Mixed farms are likely to become landscape guardians, while a sustainable intensification path is open for 20% of farms that specialize in permanent crops. © 2023 Elsevier Ltd",Agricultural policy; Development of agriculture; Eco-efficiency; Public goods; Small farms; Sustainable agriculture,Biodiversity; Crops; Data envelopment analysis; Efficiency; Greenhouse gases; Sustainable development; Agricultural policies; Central and Eastern Europe; Development of agriculture; Eco-efficiency; Production function; Public goods; Small farm; Small scale farming; Sustainable agriculture; Sustainable practices; Farms,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85161703324
Chen K.; Li T.; Yang M.; Zhou X.; Peng C.,"Chen, Kexin (57701699300); Li, Tong (57193653671); Yang, Mingxia (57210798464); Zhou, Xiaolu (55671501800); Peng, Changhui (7401797991)",57701699300; 57193653671; 57210798464; 55671501800; 7401797991,The effects of environmental factors and plant diversity on forest carbon sequestration vary between eastern and western regions of China,2024,Journal of Cleaner Production,437,,140371,,,,1,10.1016/j.jclepro.2023.140371,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182894354&doi=10.1016%2fj.jclepro.2023.140371&partnerID=40&md5=7dc9537e794a540ab4321c71d63e0cd3,"Forest ecosystems play a crucial role in global carbon sequestration, with the majority of forest carbon being stored in biomass. However, it remains unclear at the national scale to what extent forest biomass depends on soil and climatic conditions, as well as tree species diversity. In this study, we identified and grouped these factors using a classical geographical dividing line, the Hu-line, which divides China into East and West regions characterized by obvious differences in natural conditions and vegetation distribution. We assessed the possible effects of forest species diversity, climatic conditions, and soil environment on the magnitude of forest biomass and carbon sequestration potential by integrating China's 2009–2018 forest inventory data with environmental information. We tested these effects using a structural equation model. Forest biomass was mainly influenced by environmental factors in the West (effect sizes soil N, soil pH, soil P, mean annual precipitation and temperature: −0.50, 0.41, 0.10, 0.04, 0.34) and by species diversity in the East (effect sizes −0.26 and 0.44 in the west and east, respectively). Our results demonstrated the non-negligible influence of forest species diversity on forest biomass. Therefore, through a comprehensive consideration of the interactions between climate, soil, and water resource availability, forest management and cleaner production plans will assist policymakers in designing a rational framework for future forest conservation measures. © 2024 Elsevier Ltd",Biomass; Climate change; Soil condition; Species diversity; Structural equation model; Temperature,Biodiversity; Carbon; Climate change; Climate models; Conservation; Ecosystems; Forestry; Soils; Water resources; Climatic conditions; Effect size; Environmental factors; Forest biomass; Forest carbon sequestration; Forest carbons; Forest species; Plant diversity; Soil conditions; Structural equation models; Biomass,Article,Final,,Scopus,2-s2.0-85182894354
Kulionis V.; Pfister S.; Fernandez J.,"Kulionis, Viktoras (57193949425); Pfister, Stephan (26639761300); Fernandez, Jeanne (59257087500)",57193949425; 26639761300; 59257087500,Biodiversity impact assessment for finance,2024,Journal of Industrial Ecology,28,5,,1321,1335,14,0,10.1111/jiec.13515,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201042465&doi=10.1111%2fjiec.13515&partnerID=40&md5=68d773874b7888726faa7c0d68127384,"Biodiversity loss, driven by human activities, significantly affects the environment, human societies, and economies. Using the extended multi-regional input–output (EEMRIO) and life cycle assessment (LCA) techniques, we offer insights into how these methodologies can be used to inform financial decisions related to biodiversity focusing on two key aspects: biodiversity impacts and ecosystem service dependencies. Our method combines spatially explicit characterization factors from LC-IMPACT with the Global Resource Input-Output Assesment (GLORIA) database to estimate biodiversity impacts. As a case study we assess the biodiversity impact of the MSCI All Country World Index (MSCI ACWI) which consist of about 3000 large- and mid-sized companies, from 23 developed and 24 emerging countries. The results demonstrate that most of the biodiversity impact is caused in the Americas, followed by Asia, despite its low representation in the index's country weight (6%). Europe shows the least impact. These results emphasize the need to account for global supply chain linkages as products sold in one country might have significant biodiversity impacts elsewhere due to sourcing of production inputs. Second, our results identify the main determinants of the index's impact: land use, followed by water stress and climate change. Although most of the impact is localized in few sectors, the distinct characteristics of these sectors require industry-specific mitigation approaches. Finally, double materiality results show both, the influence companies have on biodiversity and the reciprocal effects. Companies neglecting these impacts risk financial setbacks, making it a crucial concern for investors. © 2024 The Author(s). Journal of Industrial Ecology published by Wiley Periodicals LLC on behalf of International Society for Industrial Ecology.",biodiversity; EEMRIO; environmental modelling; finance; industrial ecology; LCA,Asia; Europe; Climate change; Ecosystems; Investments; Land use; Life cycle; Supply chains; Assessment technique; Biodiversity loss; Environmental model; Extended multi-regional input–output; Human activities; Human society; Impact assessments; Industrial ecology; Input-output; Life cycle assessment; biodiversity; ecosystem service; green economy; life cycle analysis; spatiotemporal analysis; water stress; Biodiversity,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85201042465
Yang R.; Chen S.; Dong X.; Wang K.; He T.; Chen H.; Li X.; Ye Y.; Xiao W.,"Yang, Runjia (57961959900); Chen, Sha (57209237562); Dong, Xinyu (57225987614); Wang, Kechao (57831498700); He, Tingting (57215559368); Chen, Hong (57963013200); Li, Xiaoya (57216621036); Ye, Yanmei (7401627791); Xiao, Wu (36620043400)",57961959900; 57209237562; 57225987614; 57831498700; 57215559368; 57963013200; 57216621036; 7401627791; 36620043400,Revealing conflict risk between landscape modification and species conservation in the context of climate change,2024,Journal of Cleaner Production,479,,144028,,,,0,10.1016/j.jclepro.2024.144028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206934673&doi=10.1016%2fj.jclepro.2024.144028&partnerID=40&md5=5ac8fc78321f9f5ddff388c9687f9138,"Modified landscapes for agricultural and urban development have caused the loss of natural habitats, potentially exacerbating species extinction. Addressing this issue requires understanding the potential conflicts from protecting threatened species and clearing land (for farming or urbanization). This study evaluates such conflicts, termed conflict risk (CR) between landscape modification and species conservation as well as its changes under climate change, using Species Distribution Models, conservation planning tools, and scenario prediction. The findings highlight the Sichuan Basin and Yunnan-Guizhou Plateau as critical habitats for threatened species, underscoring the high urgency for conservation efforts. CR hotspots cover ∼16.3% of China's terrestrial area, with those driven by agricultural expansion concentrated in the Sichuan Basin and Huang-Huai-Hai Plain, and those driven by urban development in major river deltas. Climate change is projected to alter the conflict risk across regions, with CR hotspots estimated to decrease by 15.9–21.6% and relocate eastward. Central Xinjiang and central Shaanxi are expected to encounter increased CR across scenarios, whereas southeastern China would see a notable rise in CR specifically under the SSP1-RCP2.6 scenario. Combining these projections with specific land drivers provides a robust basis for balancing species conservation with land management needs, offering crucial insights for biodiversity preservation and sustainable land use planning. © 2024 Elsevier Ltd",Biodiversity; Climate change; Conflict risk; Cropland development; Urban expansion,Agricultural development; Conflict risk; Cropland development; Hotspots; Natural habitat; Sichuan Basin; Species conservations; Threatened species; Urban development; Urban expansion,Article,Final,,Scopus,2-s2.0-85206934673
Huang C.; Cheng J.; Liu S.; Wan Y.; Zhou J.; Liu Z.; Peng C.,"Huang, Chunbo (57200747193); Cheng, Jing (57559773000); Liu, Shuangshuang (57320394600); Wan, Yunshan (57856213000); Zhou, Jie (59193621700); Liu, Zelin (57191692126); Peng, Changhui (7401797991)",57200747193; 57559773000; 57320394600; 57856213000; 59193621700; 57191692126; 7401797991,"Impacts of landscape dynamics on terrestrial ecosystem health in the Three Gorges Reservoir Area, China",2024,Journal of Cleaner Production,467,,142928,,,,1,10.1016/j.jclepro.2024.142928,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196936601&doi=10.1016%2fj.jclepro.2024.142928&partnerID=40&md5=a0adde739a0a27c37d6a682487d9126c,"Forest landscapes changed notably due to natural disturbances and human activities, and are threatened by environmental degradation and biodiversity loss. Evaluating terrestrial ecosystem health is beneficial for promoting vegetation protection and restoration efforts. This study analyzed the spatial-temporal evolution of three landscapes (i.e., natural/semi-natural vegetation, agricultural vegetation, and non-vegetation landscapes) of the Three Gorges Reservoir Area (TGRA) from 1990 to 2020, and explored their impacts for terrestrial ecosystem health (EH) which was estimated by vigor-organization-resilience (V–O-R) model. The results demonstrated that terrestrial EH improved during 1990–2020 because of the increasing natural/semi-natural vegetation landscapes of >1000m and >25° areas. Regions of higher EH levels were the northern and eastern counties dominated by natural/semi-natural vegetation, while regions of lower EH levels were the middle counties dominated by agricultural and non-vegetation landscapes. The relationships between natural/semi-natural vegetation landscape and EH were positive, while agricultural and non-vegetation landscapes were negatively related to EH. Moreover, climate and socioeconomic factors exerted a negative correlation with EH, while soil and topography factors were positively correlated with EH. Our findings support the importance of considering landscape dynamics in promoting ecological restoration and enhancing EH, providing scientific references for ensuring sustainable development of the TGRA and other similar ecological vulnerable regions. © 2024",Driving mechanism; Forest landscape; Forest quality; PLS-SEM model; Remote sensing,Biodiversity; Conservation; Ecosystems; Forestry; Restoration; Sustainable development; Topography; Vegetation; Driving mechanism; Ecosystem health; Forest landscape; Forest quality; PLS-SEM model; Remote-sensing; Semi-natural vegetation; Terrestrial ecosystems; Three Gorge reservoir; Vegetation landscape; Remote sensing,Article,Final,,Scopus,2-s2.0-85196936601
Lago-Olveira S.; Cancela J.J.; Tubío M.; Moreira H.F.; Moreira M.T.; González-García S.,"Lago-Olveira, Sara (57776804600); Cancela, Javier J. (8621420000); Tubío, Miguel (57195725390); Moreira, Helena Feijoo (59371162000); Moreira, Maria Teresa (26424779900); González-García, Sara (16303623400)",57776804600; 8621420000; 57195725390; 59371162000; 26424779900; 16303623400,Environmental benefits of ozonated water for sustainable grapevine disease control: A life cycle and carbon sequestration analysis,2024,Journal of Cleaner Production,478,,143999,,,,0,10.1016/j.jclepro.2024.143999,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206700006&doi=10.1016%2fj.jclepro.2024.143999&partnerID=40&md5=09c11c97cffafb5e2041ee70e4693e84,"The oxidative capacity of ozone makes it a highly effective biocide, widely used in the food and processing industry, as well as in drinking water plants. In a context of tighter restrictions on the use of synthetic plant protection products at the regulatory level, wineries are looking for alternative methods to control diseases, making the application of ozonated water an option to consider. To determine the environmental sustainability of this alternative vineyard disease control treatment, an environmental impact assessment was conducted using the Life Cycle Assessment (LCA) methodology. The assessment was carried out in a vineyard located in the D.O. Rías Baixas of Galicia, located in northwestern Spain. The analysis was conducted on the basis of two functional units: i) 1 kg of grapes and ii) 1 ha of land managed and using a cradle-to-gate boundary system. Ten impact categories were assessed using the ReCiPe method, except for the water scarcity indicator, which was quantified using AWARE. The environmental sustainability of the vineyard was further analyzed by measuring its carbon sequestration potential to obtain a more complete environmental profile. The RothC-26.3 model was chosen to estimate absolute carbon sequestration and annual sequestration rate from 2020 to 2040. Since the ozone-only scenarios lost all harvest, no environmental assessment was performed for such scenarios. For the remaining scenarios, the findings suggest that those using a combination of ozonated water and fungicides have the worst environmental performance due to notable reductions in grape yield and more frequent disease control interventions, particularly in certain scenarios. When evaluating environmental performance per hectare of land managed, the scenario using ozonated water with a limited number of disease control interventions exhibited the most favorable environmental profile, primarily due to reduced use of fungicides and disease control passes. In addition, the main contributors to the vineyard environmental profile identified were diesel fuel combustion during field operations, fertilizer use and production, and irrigation. In addition, the research indicates that the vineyard sequesters carbon annually, but this alone is insufficient to offset its greenhouse gas emissions. However, it is estimated that through the application of more appropriate soil management practices, the vineyard could achieve carbon neutrality and potentially increase soil carbon stocks over time. © 2024 The Authors",Biodiversity; Carrying capacity; Ecosystem services; Soil organic carbon; Sustainability metric; Wine,Breweries; Ozone water treatment; Carbon sequestration; Carrying capacity; Ecosystem services; Environmental benefits; Environmental performance; Environmental profile; Environmental sustainability; Ozonated water; Soil organic carbon; Sustainability metrics; Ozonization,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85206700006
Spillias S.; Cottrell R.S.; Layton C.; O'Brien K.R.; McDonald-Madden E.,"Spillias, Scott (57219594447); Cottrell, Richard S. (57196122128); Layton, Cayne (55548123500); O'Brien, Katherine R. (7202076951); McDonald-Madden, Eve (25031826200)",57219594447; 57196122128; 55548123500; 7202076951; 25031826200,Having our kelp and eating it too: Minimizing trade-offs from seaweed farming,2024,Journal of Cleaner Production,448,,141150,,,,0,10.1016/j.jclepro.2024.141150,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187216046&doi=10.1016%2fj.jclepro.2024.141150&partnerID=40&md5=e306c22a3ae77d5b798657f803758f27,"Seaweed farming is promoted as a facet of the Blue Economy that may provide food, support local livelihoods, bolster marine biodiversity, and sequester carbon. While the potential for each of these benefits is often studied in isolation, here we explore the potential for ‘holistic’ management, which realizes all four benefits simultaneously. Applying a stock and flow model to different environmental and socio-economic scenarios, we simulate ten years of operations on a one-hectare kelp (Macrocystis pyrifera) farm. We explore trade-offs among the food, livelihoods, marine biodiversity, and carbon sequestration benefits of each scenario to identify the management conditions under which holistic seaweed farming can be achieved. Our results demonstrate that holistic seaweed farming is possible under many – but not all – scenarios, and that holistic management is distinct from management that prioritizes maximizing any single benefit, frequently requiring a reduction in financial benefits to maintain others. Proper farm placement and robust management in marine environments will be critical for seaweed industries to support multiple sustainable development objectives at once. © 2024 The Author(s)",Blue Economy; Mariculture; Multi-objective decision-making; Sustainability; System Dynamics,Biodiversity; Carbon; Commerce; Decision making; Economic and social effects; Farms; Marine biology; Seaweed; Blue economies; Flow modelling; Mariculture; Marine biodiversity; Multi objective decision making; Seaweed farming; Stock models; Stocks and flows; System Dynamics; Trade off; Sustainable development,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85187216046
Xiong X.; Li Y.; Zhou X.; Zhang C.,"Xiong, Xinyan (57226290182); Li, Yi (57221624150); Zhou, Xinyi (57213151292); Zhang, Chi (57254207400)",57226290182; 57221624150; 57213151292; 57254207400,Methane emission mitigation in hypoxic freshwater triggered by oxygen-carrying dual-modified sediment-based biochar,2023,Journal of Cleaner Production,394,,136424,,,,4,10.1016/j.jclepro.2023.136424,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147957866&doi=10.1016%2fj.jclepro.2023.136424&partnerID=40&md5=af7ffb7a719374824ebe5002e131f2fd,"Anthropogenic deoxygenation of freshwater systems has attracted widespread global attention due to its potential to threaten ecosystem biodiversity, increase internal nutrient loading, and enhance greenhouse gas emissions. However, the exploration of effective, economical, and green solutions available to combat hypoxia and its impacts on freshwater remains a longstanding challenge. Herein, oxygen-carrying dual-modified sediment-based biochar (O-KN-SBC) was developed as a new approach to sustainably restore hypoxic freshwater and synchronously mitigate methane (CH4) emission. The O-KN-SBC was observed in column incubation experiments to elevate dissolved oxygen (DO) concentration by 6 times and reduce CH4 emission by 18 times compared to the control. Electrochemical analysis confirmed the ability of modified biochar to promote electron transfer and its role as an electron shuttle to mediate biological processes. Microbial analysis suggested that the restored oxygen-enriched ambiance could greatly promote the expression of pmoA gene with an 8-fold increase and the shift of methanotrophs from Type I dominance to Type I and II co-dominance. Last but not least, partial least squares path modeling revealed that in the presence of O-KN-SBC, CH4 fluxes had strong associations with functional genes namely pmoA and mcrA, which mainly depended on the ambient water quality (especially DO, nitrate, and organic carbon). Our study not only develops a promising approach to sustainably address hypoxia and warming related issues in freshwater systems, but also demonstrates the roles of water quality improvement and microbial community reconstruction in the greenhouse gas emission reduction process. © 2023 Elsevier Ltd",Methane emission mitigation; Methane metabolism; Modified biochar; Nanobubble; Oxygen modulation,Biodiversity; Dissolved oxygen; Gas emissions; Genes; Greenhouse gases; Least squares approximations; Organic carbon; Petroleum prospecting; Restoration; Water quality; Biochar; CH 4; Emissions mitigation; Fresh Water; Methane emission mitigation; Methane emissions; Methane metabolism; Modified biochar; Nanobubbles; Oxygen modulation; Methane,Article,Final,,Scopus,2-s2.0-85147957866
